# t, u(t), y(t)
# ================
0.000000000000000000e+00 2.500000000000000000e+00 1.849679379017437064e+00
1.000000000000000000e+00 2.500000000000000000e+00 1.335396339430663826e+00
2.000000000000000000e+00 2.500000000000000000e+00 2.088352416627324182e+00
3.000000000000000000e+00 2.500000000000000000e+00 1.611872078802671915e+00
4.000000000000000000e+00 2.500000000000000000e+00 1.182340645157278880e+00
5.000000000000000000e+00 2.500000000000000000e+00 1.415713958726345201e+00
6.000000000000000000e+00 2.500000000000000000e+00 1.588353700767204391e+00
7.000000000000000000e+00 2.500000000000000000e+00 1.072872069772298653e+00
8.000000000000000000e+00 -2.500000000000000000e+00 1.417540550441039660e+00
9.000000000000000000e+00 -2.500000000000000000e+00 -1.882354197502722482e+00
1.000000000000000000e+01 -2.500000000000000000e+00 -1.088496202252202671e+00
1.100000000000000000e+01 -2.500000000000000000e+00 -1.960288066613497415e+00
1.200000000000000000e+01 -2.500000000000000000e+00 -1.817594165305128406e+00
1.300000000000000000e+01 -2.500000000000000000e+00 -1.371330892008592928e+00
1.400000000000000000e+01 2.500000000000000000e+00 -1.385589078006576935e+00
1.500000000000000000e+01 2.500000000000000000e+00 1.620328106551985226e+00
1.600000000000000000e+01 2.500000000000000000e+00 1.278879741797359859e+00
1.700000000000000000e+01 2.500000000000000000e+00 1.499230973279786161e+00
1.800000000000000000e+01 2.500000000000000000e+00 9.973872315319826098e-01
1.900000000000000000e+01 2.500000000000000000e+00 2.054613002446131542e+00
2.000000000000000000e+01 2.500000000000000000e+00 8.463415629319259725e-01
2.100000000000000000e+01 -2.500000000000000000e+00 1.277345876297882210e+00
2.200000000000000000e+01 -2.500000000000000000e+00 -1.395099133254498858e+00
2.300000000000000000e+01 -2.500000000000000000e+00 -1.430170834003171132e+00
2.400000000000000000e+01 -2.500000000000000000e+00 -1.153011252295022881e+00
2.500000000000000000e+01 -2.500000000000000000e+00 -1.981181099571247994e+00
2.600000000000000000e+01 -2.500000000000000000e+00 -1.696623079693495795e+00
2.700000000000000000e+01 -2.500000000000000000e+00 -1.440888424463027562e+00
2.800000000000000000e+01 -2.500000000000000000e+00 1.957065140935254632e-02
2.900000000000000000e+01 -2.500000000000000000e+00 -1.710419595969776996e+00
3.000000000000000000e+01 2.500000000000000000e+00 -1.103315182220202972e+00
3.100000000000000000e+01 2.500000000000000000e+00 1.476936289621516130e+00
3.200000000000000000e+01 2.500000000000000000e+00 9.500425564142866985e-01
3.300000000000000000e+01 2.500000000000000000e+00 1.295118513550452377e+00
3.400000000000000000e+01 2.500000000000000000e+00 7.520666897294038256e-01
3.500000000000000000e+01 2.500000000000000000e+00 1.057110164119003048e+00
3.600000000000000000e+01 2.500000000000000000e+00 2.218615799318304660e+00
3.700000000000000000e+01 2.500000000000000000e+00 1.652978001791220564e+00
3.800000000000000000e+01 -2.500000000000000000e+00 2.469370143243300397e+00
3.900000000000000000e+01 -2.500000000000000000e+00 -1.764486210471052585e+00
4.000000000000000000e+01 -2.500000000000000000e+00 -1.427760873553185927e+00
4.100000000000000000e+01 -2.500000000000000000e+00 -2.582157536282546850e+00
4.200000000000000000e+01 -2.500000000000000000e+00 -1.273961787629733999e+00
4.300000000000000000e+01 -2.500000000000000000e+00 -1.231151586840419476e+00
4.400000000000000000e+01 -2.500000000000000000e+00 -1.099550631194953221e+00
4.500000000000000000e+01 -2.500000000000000000e+00 -2.082812865127283697e+00
4.600000000000000000e+01 -2.500000000000000000e+00 -1.390275618490628196e+00
4.700000000000000000e+01 2.500000000000000000e+00 -1.650336391237661626e+00
4.800000000000000000e+01 2.500000000000000000e+00 2.443495606843852919e+00
4.900000000000000000e+01 2.500000000000000000e+00 1.812353979423448891e+00
5.000000000000000000e+01 2.500000000000000000e+00 3.881535087613618984e-01
5.100000000000000000e+01 2.500000000000000000e+00 7.363617568608704644e-01
5.200000000000000000e+01 2.500000000000000000e+00 1.853520404976277458e+00
5.300000000000000000e+01 -2.500000000000000000e+00 1.382782198693573328e+00
5.400000000000000000e+01 -2.500000000000000000e+00 -1.395434390609433750e+00
5.500000000000000000e+01 -2.500000000000000000e+00 -1.295488318336881717e+00
5.600000000000000000e+01 2.500000000000000000e+00 -1.127686049281622971e+00
5.700000000000000000e+01 2.500000000000000000e+00 1.084622544439629577e+00
5.800000000000000000e+01 2.500000000000000000e+00 2.128307549876427007e+00
5.900000000000000000e+01 2.500000000000000000e+00 2.048143313701964896e+00
6.000000000000000000e+01 2.500000000000000000e+00 9.302373321950934137e-01
6.100000000000000000e+01 -2.500000000000000000e+00 3.397608645088310286e-01
6.200000000000000000e+01 -2.500000000000000000e+00 -1.011469482780334328e+00
6.300000000000000000e+01 -2.500000000000000000e+00 -2.346665109206897970e+00
6.400000000000000000e+01 -2.500000000000000000e+00 -1.893876496560890077e+00
6.500000000000000000e+01 -2.500000000000000000e+00 -1.519948677746341126e+00
6.600000000000000000e+01 -2.500000000000000000e+00 -2.816365642709203421e+00
6.700000000000000000e+01 2.500000000000000000e+00 -1.922665073849706197e+00
6.800000000000000000e+01 2.500000000000000000e+00 2.047681307490799796e+00
6.900000000000000000e+01 2.500000000000000000e+00 1.321544636501294168e+00
7.000000000000000000e+01 2.500000000000000000e+00 6.938662658573881981e-01
7.100000000000000000e+01 -2.500000000000000000e+00 1.359502721493814681e+00
7.200000000000000000e+01 -2.500000000000000000e+00 -1.317303523477977301e+00
